"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"UNIÓN GENERAL DE TRABAJADORES, SECTOR DE LAS COMUNICACIONES",Spain,23519840,0,3,0,2015-09-14
"European Chemical Industry Council",Belgium,12000000,33,49,123,2009-09-24
"I.R.I.S Solutions & Experts",Belgium,"> 10,000,000",1,5,0,2018-04-20
"Pillar Project Worldwide Ltd","United Kingdom",8387449,0,0.5,0,2017-10-06
Google,"United States","8000000 - 8249999",7,8.5,264,2011-03-29
"European Centre for Development Policy Management",Netherlands,"7000000 - 7249999",0,37,4,2015-01-22
"FTI Consulting Belgium","United States","6750000 - 6999999",41,22.75,54,2010-04-01
Fleishman-Hillard,Belgium,"6750000 - 6999999",62,32.25,29,2009-03-17
"Insurance Europe",Belgium,"6500000 - 6749000",22,35,51,2010-04-15
"Burson Cohn & Wolfe Sprl (formerly Burson-Marsteller Sprl)",Belgium,"6250000 - 6499999",38,28.25,6,2008-10-31
EUROCITIES,Belgium,"6000000 - 6249999",14,20,51,2009-12-18
"Fundación Tekniker",Spain,"5500000 - 5749000",0,91.5,0,2012-01-24
"Trinomics B.V.",Netherlands,"5250000 - 5499999",0,29.5,4,2017-08-24
"European Federation of Pharmaceutical Industries and Associations",Luxembourg,5414776,10,8.75,91,2009-03-04
Altroconsumo,Italy,"5000000 - 5249999",0,2,2,2009-01-13
"Interel European Affairs",Belgium,"5000000 - 5249999",30,25.5,11,2008-12-11
"Microsoft Corporation","United States","5000000 - 5249999",6,10,156,2009-01-13
Bruegel,Belgium,5001006,0,30.5,16,2018-05-23
"Association for Financial Markets in Europe","United Kingdom","4750000 - 4999999",9,25.25,51,2010-08-04
"Teneo Brussels","United States","4750000 - 4999999",25,30,23,2010-06-02
"Shell Companies",Netherlands,"4500000 - 4749000",9,11.25,80,2012-04-18
"European Banking Federation",Belgium,"4250000 - 4499999",26,15,46,2008-12-19
"Verband der Chemischen Industrie e.V.",Germany,"4250000 - 4499999",9,26,9,2011-11-02
BUSINESSEUROPE,Belgium,"4000000 - 4249999",30,30,292,2009-01-13
"People for the Ethical Treatment of Animals Foundation","United Kingdom","4000000 - 4249999",2,6.25,0,2018-03-16
