"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas",Spain,34777770,0,5,1,2012-03-01
"Centro Tecnológico del Mar - Fundación CETMAR",Spain,"2500000 - 2749000",0,39,0,2016-05-31
"JINT vzw",Belgium,"1750000 - 1999999",0,18.25,0,2018-02-27
"Wirtschaftskammer Österreich",Austria,"1750000 - 1999999",0,15,36,2010-01-07
"Centre for Fine Arts",Belgium,"1250000 - 1499999",0,5,20,2015-07-07
"Związek Gmin i Powiatów Subregionu Centralnego Województwa Śląskiego",Poland,"1250000 - 1499999",0,10,0,2018-02-02
"COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA",Spain,"1000000 - 1249999",0,10,0,2017-07-06
"Groupement d'Intéret Public - Réseau des Acheteurs Hospitaliers",France,"1000000 - 1249999",0,2.75,0,2013-05-21
"Savjetodavna služba (Advisory Service Croatia)",Croatia,"1000000 - 1249999",0,1,0,2017-12-12
"Suva Luzern Fachstelle Marktüberwachung",Switzerland,1000000,0,5,0,2016-12-06
Vilans,Netherlands,1000000,0,10,0,2017-12-11
"KfW Bankengruppe",Germany,"900000 - 999999",6,5.5,60,2012-09-25
"Sveriges Lantbruksuniversitet",Sweden,950000,0,2,0,2016-02-16
"Egmont Institute",Belgium,904433,0,17,9,2016-09-28
"Chambre de commerce et d'industrie de région Paris Ile-de-France",France,"800000 - 899999",0,6,1,2010-12-09
"Joint Nature Conservation Committee","United Kingdom","800000 - 899999",0,25,2,2012-04-03
"Organismo Publico Puertos del Estado",Spain,"700000 - 799999",0,2.5,0,2016-11-02
"Service de lutte contre la pauvreté, la précarité et l'exclusion sociale",Belgium,"600000 - 699999",0,7,0,2015-06-03
"Small Business Standards",Belgium,"600000 - 699999",0,5.75,0,2014-05-21
"Unione Italiana delle Camere di Commercio, Industria, Artigianato e Agricoltura",Italy,"600000 - 699999",0,3,1,2010-04-15
"Centre National d'Etudes Spatiales",France,"500000 - 599999",0,3,1,2016-12-06
"Long Distance Advisory Council / Consejo Consultivo de Flota Comunitaria de Larga Distancia en Aguas Lejanas / Conseil Consultatif de Pêche Lointaine",Spain,"500000 - 599999",1,2.75,4,2015-10-15
"PIRAEUS PORT AUTHORITY SA",Greece,"500000 - 599999",0,3.25,0,2016-11-21
"RAM Logistica Infrastrutture e Trasporti Spa",Italy,597239,0,4,0,2016-11-10
"union régionale professionnelle santé des médecins libéraux Auvergne Rhône Alpes",France,550000,0,10,0,2017-12-30
"Banque de Développement du Conseil de l'Europe",France,"400000 - 499999",2,8.5,2,2017-10-17
"Budapesti Békéltető Testület",Hungary,"400000 - 499999",0,25,0,2013-12-19
"Luxembourg Finance Labelling Agency",Luxembourg,"400000 - 499999",0,3,0,2018-03-16
NRW.BANK,Germany,"400000 - 499999",0,2,9,2009-01-06
"Société Régionale d'Investissement de Wallonie",Belgium,"400000 - 499999",0,0.25,1,2017-05-05
"Zavod za gradbeništvo Slovenije",Slovenia,"400000 - 499999",0,13.5,0,2017-10-19
"Liikenteen turvallisuusvirasto",Finland,434765,0,2.5,0,2018-04-22
"Chambre de Commerce et d'Industrie de Région des Pays de la Loire",France,"300000 - 399999",0,3,1,2015-03-06
"Corporación Andina de Fomento",Venezuela,"300000 - 399999",0,5,2,2016-02-16
"Danish Committee for Health Education",Denmark,"300000 - 399999",0,1.75,0,2018-07-16
"Market Advisory Council / Conseil Consultatif pour les Marchés",Belgium,"300000 - 399999",0,1.75,1,2016-11-28
"The University of Nottingham","United Kingdom","300000 - 399999",0,7.25,0,2017-02-10
"Zweites Deutsches Fernsehen",Germany,"300000 - 399999",3,3,28,2009-01-15
"Fontys Expertise Center for Health and Technology",Netherlands,384773,0,0.25,0,2018-02-26
"Agency for Sustainable Development and Eurointegration - Ecoregions",Bulgaria,360200,0,0.75,0,2015-02-10
"European Agency for Special Needs and Inclusive Education",Denmark,317650,4,4,5,2015-02-09
"Leader Nedre Dalälven 3",Sweden,316222,0,0.25,0,2016-10-21
"Comunidad de Usuarios de los Acuiferos de la Sierra de Gador",Spain,300000,0,1,0,2016-11-15
"Agence Française de Développement",France,"200000 - 299999",0,4,4,2013-07-15
"Assemblée permanente des chambres de métiers et de l'artisanat",France,"200000 - 299999",0,2.5,0,2011-09-27
"Caisse Nationale des Allocations Familiales",France,"200000 - 299999",0,4,0,2016-01-22
"Deutsche Gesetzliche Unfallversicherung e.V.",Germany,"200000 - 299999",0,2,2,2015-05-20
EuroGeographics,Belgium,"200000 - 299999",1,3,0,2012-01-19
"Hauptverband der österreichischen Sozialversicherungsträger",Austria,"200000 - 299999",1,3,2,2015-09-22
"Hrvatski audiovizualni centar - Croatian Audiovisual Centre",Croatia,"200000 - 299999",0,0.5,0,2015-09-30
"IrRADIARE, Investigação e Desenvolvimento em Engenharia e Ambiente, Lda",Portugal,"200000 - 299999",0,7,2,2018-04-22
"LAG Meridaunia scarl",Italy,"200000 - 299999",0,10,0,2018-03-09
"Network Rail Infrastructure Limited","United Kingdom","200000 - 299999",0,2.5,0,2016-07-15
"Romanian Maritime Training Center",Romania,"200000 - 299999",0,5,0,2017-05-04
"MAISON DE L'EMPLOI CHATEAUBRIANT-DERVAL",France,292463,0,0.5,0,2018-03-05
"Development Agency of Karditsa AE OTA",Greece,290410,0,9.25,0,2015-03-15
"Chambre de métiers et de l'artisanat de la Loire",France,257550,0,14,0,2018-03-08
"GIP OI du Hainaut",France,201766,0,4,0,2017-03-29
Alliander,Netherlands,200000,0,0.25,0,2017-05-24
"Asociatia Grupul de Actiune Locala Vrancea Sud Est",Romania,200000,0,5,0,2016-10-16
"Chambre de Métiers et de l'Artisanat Interdépartementale Calvados Orne",France,200000,0,3.25,0,2018-03-08
"Consiglio Nazionale degli Ingegneri",Italy,200000,0,1,0,2016-07-19
"Institut pour le Droit Européen de la Circulation",Luxembourg,200000,0,6.25,0,2015-03-11
"Istituto centrale per il Catalogo Unico delle biblioteche italiane",Italy,200000,0,6.75,0,2018-01-08
"Architects Registration Board","United Kingdom","100000 - 199999",0,3,0,2017-02-24
"Associació pel Desenvolupament Rural de la Catalunya Central",Spain,"100000 - 199999",0,4,0,2017-08-29
"Bank Gospodarstwa Krajowego",Poland,"100000 - 199999",0,3,4,2017-06-09
Bpifrance,France,"100000 - 199999",3,1.25,14,2013-10-23
"City of Dublin Energy Management Agency Ltd",Ireland,"100000 - 199999",0,1,0,2016-11-07
"Comisión Nacional del Mercado de Valores",Spain,"100000 - 199999",0,1,0,2018-02-02
"Consejo General de Colegios Oficiales de Médicos",Spain,"100000 - 199999",0,2,2,2015-03-18
"DFS Deutsche Flugsicherung GmbH",Germany,"100000 - 199999",1,1,10,2009-05-18
"De Vlaamse Waterweg nv",Belgium,"100000 - 199999",0,4,0,2015-04-03
"Deutsche Forschungsgemeinschaft",Germany,"100000 - 199999",1,1.5,1,2014-07-07
"Fundación Empresa Universidad Galicia",Spain,"100000 - 199999",1,5,0,2017-03-15
"GAL XLOKK Foundation",Malta,"100000 - 199999",0,2,0,2018-09-25
"General Medical Council","United Kingdom","100000 - 199999",0,1.5,0,2012-07-23
"Gestore dei Mercati Energetici S.p.A.",Italy,"100000 - 199999",0,0.75,0,2017-07-24
"Hague Conference on Private International Law",Netherlands,"100000 - 199999",0,1,1,2018-02-27
"Kommuninvest i Sverige AB",Sweden,"100000 - 199999",0,1,2,2016-05-26
"LITGRID AB",Lithuania,"100000 - 199999",0,2.5,0,2017-12-19
"Londonderry Port & Harbour Commissioners","United Kingdom","100000 - 199999",0,1.5,1,2018-04-30
"Netherlands Chamber of Commerce (Kamer van Koophandel)",Netherlands,"100000 - 199999",0,2.25,0,2017-06-02
"RWTH Aachen University",Germany,"100000 - 199999",0,9.5,0,2015-10-15
"Research Council of Norway",Norway,"100000 - 199999",3,7.25,1,2017-03-09
"Stichting CINOP",Netherlands,"100000 - 199999",0,1.25,0,2017-03-10
"Stichting STC-Group",Netherlands,"100000 - 199999",0,1.75,0,2016-06-06
"Suomen itsenäisyyden juhlarahasto",Finland,"100000 - 199999",0,5,10,2017-05-24
"The Portuguese Platform for Defence Industries",Portugal,"100000 - 199999",0,2,0,2017-10-12
"Trikala Development Agency",Greece,"100000 - 199999",0,6,0,2018-01-04
"Umweltbundesamt GmbH - Environment Agency Austria",Austria,"100000 - 199999",0,1.25,0,2018-04-19
"gematik Gesellschaft für Telematikanwendungen der Gesundheitskarte mbH",Germany,"100000 - 199999",0,2,0,2015-12-22
"RB Rail AS",Latvia,170533,0,0.75,3,2015-11-19
"Schweizerische Beratungsstelle für Unfallverhütung bfu",Switzerland,140000,0,0.5,0,2017-10-19
"National Railway Company CFR S.A.",Romania,129060,0,1,0,2016-12-22
"Conseil national de l'Ordre des pharmaciens",France,120000,0,1.25,0,2012-02-27
"Bundesarbeitsgemeinschaft Deutscher Kommunalversicherer",Germany,115000,0,0.5,0,2008-07-30
"European Sustainable Development Network",Austria,115000,0,2.5,0,2017-06-20
"Sociedad de Investigación y Explotación Minera de Castilla y León, Sociedad Anónima",Spain,101092,0,1,0,2017-01-27
"Consejo General de Colegios Oficiales de Ingenieros Agrónomos",Spain,100000,0,2.75,0,2017-02-14
"Dental Council of Ireland",Ireland,100000,0,2.25,0,2016-07-27
"AB Amber Grid",Lithuania,"50000 - 99999",0,2.5,0,2018-02-09
"APDL - Administracao dos Portos do Douro, Leixoes e Viana do Castelo, SA",Portugal,"50000 - 99999",0,0.75,1,2015-02-06
"ARTISTAS INTÉRPRETES O EJECUTANTES, SOCIEDAD DE GESTIÓN DE ESPAÑA",Spain,"50000 - 99999",0,2.75,0,2015-11-16
"Aedes vereniging van woningcorporaties",Netherlands,"50000 - 99999",1,0.25,3,2012-02-01
"Agence régionale Pays de la Loire Territoires d'Innovation",France,"50000 - 99999",0,1.25,0,2016-05-23
"Beheersmaatschappij Antwerpen Mobiel",Belgium,"50000 - 99999",0,2.25,0,2015-07-13
"CCI France",France,"50000 - 99999",2,2.5,1,2018-05-23
"CONSEJO AUDIOVISUAL DE ANDALUCÍA",Spain,"50000 - 99999",0,0.75,0,2015-09-25
"Centre Antipoisons-Antigifcentrum",Belgium,"50000 - 99999",0,0.5,0,2016-08-22
"Deutscher Fussball-Bund e.V.",Germany,"50000 - 99999",1,1,1,2011-08-23
"EURES Cyprus NCO",Cyprus,"50000 - 99999",0,3,0,2018-01-16
"EUROPEAN CHEMICAL REGIONS NETWORK",Germany,"50000 - 99999",1,1.5,0,2016-11-14
"Financial Reporting Council","United Kingdom","50000 - 99999",0,1.5,3,2015-02-24
"FrankfurtrheinMain GmbH International Marketing of the Region",Germany,"50000 - 99999",0,0.75,0,2018-06-15
"Hrvatska agencija za hranu (Croatian Food Agency)",Croatia,"50000 - 99999",0,2.75,0,2018-01-30
"INSTITUT NATIONAL DE L'AUDIOVISUEL",France,"50000 - 99999",0,1,1,2015-07-16
