"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"JA Europe",Belgium,"8000000 - 8249999",0,1,11,2015-07-07
"Stiftung Mercator",Germany,"6750000 - 6999999",0,1,2,2015-02-25
"De Regenboog Groep",Netherlands,5900000,0,2,0,2009-11-21
"AGRICORD vzw",Belgium,"5250000 - 5499999",0,5,2,2011-01-31
EUROCITIES,Belgium,"4750000 - 4999999",20,22,51,2009-12-18
"Bertelsmann Stiftung",Germany,"3750000 - 3999999",0,15,29,2011-04-20
"Forest Peoples Programme","United Kingdom","3750000 - 3999999",0,19.75,3,2016-04-05
"Versicherungsombudsmann e. V.",Germany,"3750000 - 3999999",0,44.5,0,2016-08-23
"European Youth Forum",Belgium,"3500000 - 3749000",14,30.5,36,2012-01-18
"Europlanet 2020 Research Infrstructre","United Kingdom","3500000 - 3749000",0,25,0,2015-05-25
"IBON International Foundation, Inc.",Philippines,"3500000 - 3749000",0,9,0,2016-12-08
"European Environmental Bureau",Belgium,"3250000 - 3499999",10,19.75,101,2009-03-06
Natagora,Belgium,"2750000 - 2999999",0,50,0,2016-08-18
"AGENZIA PER LA PROMOZIONE DELLA RICERCA EUROPEA",Italy,2814332,5,1.5,3,2015-10-29
"Bureau Européen des Unions de Consommateurs",Belgium,"2250000 - 2499999",34,23.25,197,2008-10-29
"Non Profit Enterprise and Self-sustainability Team","United States","2250000 - 2499999",0,1,0,2015-03-02
"Open Society European Policy Institute",Belgium,"2250000 - 2499999",9,17.75,61,2008-08-21
"Transport and Environment (European Federation for Transport and Environment)",Belgium,"2250000 - 2499999",24,19.25,162,2010-02-22
"Suomen  Metsästäjäliitto Finlands Jägarförbund",Finland,2430000,0,0.25,2,2017-04-05
"Sanitation and Water for All","United States",2429669,0,5.25,0,2016-01-27
"Women´s Organisations Committee on Alcohol and Drug Issues",Sweden,2355200,0,1.75,0,2016-09-22
"European Cyclists' Federation",Belgium,"2000000 - 2249999",4,14.75,17,2011-04-27
"WWF European Policy Programme",Belgium,"2000000 - 2249999",14,21.75,156,2008-09-23
"Social Progress Imperative","United States",2068992,0,4,6,2016-11-21
"ANIMA Investment Network",France,"1750000 - 1999999",0,9.25,0,2016-02-03
"Terre des Hommes International Federation",Switzerland,"1750000 - 1999999",0,6.5,4,2015-04-22
"Transparency International",Germany,"1750000 - 1999999",12,17.75,47,2008-06-23
"Inter-Environnement Wallonie",Belgium,1872446,0,0.5,0,2016-01-05
Barncancerfonden,Sweden,"1500000 - 1749000",0,1,0,2017-03-12
"FUNDACIÓN MENIÑOS",Spain,"1500000 - 1749000",0,60,0,2017-03-07
"Stichting Health Action International",Netherlands,"1500000 - 1749000",2,3.75,4,2009-11-30
